平台,所属模块,用例标题,前置条件,步骤,预期,关键词,优先级,用例类型,适用阶段,类型可选值列表,阶段可选值列表,平台
,/主干/发现音乐(#1),网易云系统_发现音乐_选择分类，添加收藏爵士歌单,用户存在，且在有网络的情况下,"1. 用户登录网易云系统
2.下拉列表，选择爵士歌单点击播放
3.添加收藏爵士歌单","1. 成功进入网易云首页
2. 选择爵士歌单，成功播放音乐
3.成功添加收藏爵士歌单",添加收藏爵士歌单,①,功能测试,功能测试阶段,,,
,/主干/发现音乐(#1),网易云系统_发现音乐_选择分类，添加收藏古典歌单,用户存在，且在有网络的情况下,"1. 用户登录网易云系统
2.下拉列表，选择古典歌单点击播放
3.添加收藏古典歌单","1. 成功进入网易云首页
2. 选择分类，成功播放古典歌单音乐
3.成功添加收藏古典歌单",添加收藏古典歌单,①,功能测试,功能测试阶段,,,
,/主干/发现音乐(#1),网易云系统_发现音乐_选择分类，添加收藏民族歌单,用户存在，且在有网络的情况下,"1. 用户登录网易云系统
2.下拉列表，选择民族歌单点击播放
3.添加收藏民族歌单","1. 成功进入网易云首页
2. 选择民族歌单，成功播放音乐
3.成功添加收藏民族歌单",添加收藏民族歌单,①,功能测试,功能测试阶段,,,
,/主干/发现音乐(#1),网易云系统_发现音乐_选择分类，添加收藏古风歌单,用户存在，且在有网络的情况下,"1. 用户登录网易云系统
2.下拉列表，选择古风歌单点击播放
3.添加收藏古风歌单","1. 成功进入网易云首页
2. 选择古风歌单，成功播放音乐
3.成功添加收藏古风歌单",添加收藏古风歌单,①,功能测试,功能测试阶段,,,
,/主干/发现音乐(#1),网易云系统_发现音乐_选择分类，添加收藏学习歌单,用户存在，且在有网络的情况下,"1. 用户登录网易云系统
2.下拉列表，选择学习歌单点击播放
3.添加收藏学习歌单","1. 成功进入网易云首页
2. 选择学习歌单，成功播放音乐
3.成功添加收藏学习歌单",添加收藏学习歌单,①,功能测试,功能测试阶段,,,
,/主干/发现音乐(#1),网易云系统_发现音乐_选择分类，添加收藏运动歌单,用户存在，且在有网络的情况下,"1. 用户登录网易云系统
2.下拉列表，选择运动歌单点击播放
3.添加收藏运动歌单","1. 成功进入网易云首页
2. 选择运动歌单，成功播放音乐
3.成功添加收藏运动歌单",添加收藏运动歌单,①,功能测试,功能测试阶段,,,
,/主干/发现音乐(#1),网易云系统_发现音乐_选择分类，添加收藏浪漫歌单,用户存在，且在有网络的情况下,"1. 用户登录网易云系统
2.下拉列表，选择浪漫歌单点击播放
3.添加收藏浪漫歌单","1. 成功进入网易云首页
2. 选择浪漫歌单，成功播放音乐
3.成功添加收藏浪漫歌单",添加收藏浪漫歌单,①,功能测试,功能测试阶段,,,
,/主干/发现音乐(#1),网易云系统_发现音乐_选择分类，添加收藏安静歌单,用户存在，且在有网络的情况下,"1. 用户登录网易云系统
2.下拉列表，选择安静歌单点击播放
3.添加收藏安静歌单","1. 成功进入网易云首页
2. 选择安静歌单，成功播放音乐
3.成功添加收藏安静歌单",添加收藏安静歌单,①,功能测试,功能测试阶段,,,
,/主干/发现音乐/推荐(#10),网易云系统_发现音乐_推荐_播放热门歌单，并私信分享,用户存在，在有网络的情况下，至少有一名好友存在,"1.  用户登录网易云系统
2. 点击热门推荐，选择任意歌单播放
3.点击私信分享，选择选择好友","1.  成功进入网易云首页
2. 成功播放热门歌单
3.私信分享成功",播放歌单，私信分享,①,功能测试,功能测试阶段,,,
,/主干/发现音乐/推荐(#10),网易云系统_发现音乐_推荐_播放热门歌单，并私信分享,用户存在，在有网络的情况下,"1.  用户登录网易云系统
2. 点击热门推荐，选择任意歌单播放
3.点击私信分享，选择选择好友","1.  成功进入网易云首页
2. 成功播放热门歌单
3.私信分享失败",播放歌单，私信分享,①,功能测试,功能测试阶段,,,
,/主干/发现音乐/推荐(#10),网易云系统_发现音乐_推荐_播放热门歌单，并分享给大家,用户存在，在有网络的情况下,"1.  用户登录网易云系统
2. 点击热门推荐，选择任意歌单播放
3.点击，分享给大家","1.  成功进入网易云首页
2. 成功播放热门歌单
3.分享成功",播放歌单，分享给大家,①,功能测试,功能测试阶段,,,
,/主干/发现音乐/推荐(#10),网易云系统_发现音乐_推荐_播放热门歌单，并下载歌单,用户存在，在有网络的情况下,"1.  用户登录网易云系统
2. 点击热门推荐，选择任意歌单播放
3.使用云音乐客户端下载","1.  成功进入网易云首页
2. 成功播放热门歌单
3.下载歌单失败",下载歌单,①,功能测试,功能测试阶段,,,
,/主干/发现音乐/推荐(#10),网易云系统_发现音乐_推荐_播放热门歌单，并下载歌单,用户存在，在有网络的情况下,"1.  用户登录网易云系统
2. 点击热门推荐，选择任意歌单播放
3.点击下载PC版 V2.9.6","1.  成功进入网易云首页
2. 成功播放热门歌单
3.PC版为安装，下载歌单失败",下载歌单,①,功能测试,功能测试阶段,,,
,/主干/发现音乐/推荐(#10),网易云系统_发现音乐_推荐_播放热门歌单，并下载歌单,用户存在，在有网络的情况下,"1.  用户登录网易云系统
2. 点击热门推荐，选择任意歌单播放
3.点击下载的PC版并安装；下载歌单","1.  成功进入网易云首页
2. 成功播放热门歌单
3.成功下载歌单",下载歌单,①,功能测试,功能测试阶段,,,
,/主干/发现音乐/推荐(#10),网易云系统_发现音乐_推荐_播放热门歌单，并下载歌单,用户存在，在有网络的情况下,"1.  用户登录网易云系统
2. 点击热门推荐，选择任意歌单播放
3.扫描下载手机版并下载歌单","1.  成功进入网易云首页
2. 成功播放热门歌单
3.成功下载歌单",下载歌单,①,功能测试,功能测试阶段,,,
,/主干/发现音乐/推荐(#10),网易云系统_发现音乐_推荐_播放热门歌单，评论歌单,用户存在，在有网络的情况下,"1.  用户登录网易云系统
2. 点击热门推荐，选择任意歌单播放
3.点击评论，不输入字符","1.  成功进入网易云首页
2. 成功播放热门歌单
3.评论歌单失败",评论歌单,①,功能测试,功能测试阶段,,,
,/主干/发现音乐/推荐(#10),网易云系统_发现音乐_推荐_播放热门歌单，评论歌单,用户存在，在有网络的情况下,"1.  用户登录网易云系统
2. 点击热门推荐，选择任意歌单播放
3.点击评论，输入空格","1.  成功进入网易云首页
2. 成功播放热门歌单
3.评论歌单失败",评论歌单,①,功能测试,功能测试阶段,,,
,/主干/发现音乐/推荐(#10),网易云系统_发现音乐_推荐_播放热门歌单，评论歌单,用户存在，在有网络的情况下,"1.  用户登录网易云系统
2. 点击热门推荐，选择任意歌单播放
3.点击评论，输入：好听","1.  成功进入网易云首页
2. 成功播放热门歌单
3.评论成功",评论歌单,①,功能测试,功能测试阶段,,,
,/主干/发现音乐/推荐(#10),网易云系统_发现音乐_推荐_播放热门歌单，评论歌单,用户存在，在有网络的情况下,"1.  用户登录网易云系统
2. 点击热门推荐，选择任意歌单播放
3.点击评论，输入：字符长度超过140","1.  成功进入网易云首页
2. 成功播放热门歌单
3.评论歌单失败",评论歌单,①,功能测试,功能测试阶段,,,
,/主干/发现音乐/推荐(#10),网易云系统_发现音乐_推荐_播放热门歌单，评论歌单,用户存在，在有网络的情况下,"1.  用户登录网易云系统
2. 点击热门推荐，选择任意歌单播放
3.点击评论@好友","1.  成功进入网易云首页
2. 成功播放热门歌单
3.评论成功",评论歌单,①,功能测试,功能测试阶段,,,
,/主干/发现音乐/推荐(#10),网易云系统_发现音乐_播放热门歌单，评论歌单,用户存在，在有网络的情况下,"1.  用户登录网易云系统
2. 点击热门推荐，选择任意歌单播放
3.点击评论输入：Happy","1.  成功进入网易云首页
2. 成功播放热门歌单
3.评论成功",评论歌单,①,功能测试,功能测试阶段,,,
,/主干/发现音乐/推荐(#10),网易云系统_发现音乐_推荐_播放每日歌曲推荐,用户存在，在有网络的情况下，无听歌记录,"1.  用户登录网易云系统
2. 点击个性化推荐，点击每日歌曲推荐
3.","1.  成功进入网易云首页
2. 进入每日歌曲推荐界面失败
3.",播放每日歌曲推荐,①,功能测试,功能测试阶段,,,
,/主干/发现音乐/推荐(#10),网易云系统_发现音乐_推荐_播放每日歌曲推荐,用户存在，在有网络的情况下，有过听歌记录,"1.  用户登录网易云系统
2. 点击个性化推荐，点击每日歌曲推荐
3.点击播放全部","1.  成功进入网易云首页
2. 进入每日歌曲推荐界面
3.歌曲播放成功",播放每日歌曲推荐,①,功能测试,功能测试阶段,,,
,/主干/发现音乐/排行榜(#11),网易云系统_发现音乐_排行榜_播放飙升榜歌单,用户存在，且在有网络的情况下,"1. 用户登录网易云
2. 点击排行榜
3.点击飙升榜并播放","1. 成功进入网易云首页
2.成功进入云音乐特色榜界面
3.成功播放飙升榜歌曲",飙升榜,②,功能测试,功能测试阶段,,,
,/主干/发现音乐/排行榜(#11),网易云系统_发现音乐_排行榜_播放新歌榜歌单,用户存在，且在有网络的情况下,"1. 用户登录网易云
2. 点击排行榜
3.点击新歌榜并播放","1. 成功进入网易云首页
2.成功进入云音乐特色榜和全球媒体榜界面
3.成功播放新歌榜歌曲",新歌榜,②,功能测试,功能测试阶段,,,
,/主干/发现音乐/排行榜(#11),网易云系统_发现音乐_排行榜_播放原创榜歌单,用户存在，且在有网络的情况下,"1. 用户登录网易云
2. 点击排行榜
3.点击原创榜并播放","1. 成功进入网易云首页
2.成功进入云音乐特色榜界面和全球媒体榜界面
3.成功播放原创榜歌曲",原创榜,②,功能测试,功能测试阶段,,,
,/主干/发现音乐/排行榜(#11),网易云系统_发现音乐_排行榜_播放热歌榜歌单,用户存在，且在有网络的情况下,"1. 用户登录网易云
2. 点击排行榜
3.点击热歌榜并播放","1. 成功进入网易云首页
2.成功进入云音乐特色榜界面和全球媒体榜界面
3.成功播放热歌榜歌曲",热歌榜,②,功能测试,功能测试阶段,,,
,/主干/发现音乐/排行榜(#11),网易云系统_发现音乐_排行榜_播放黑胶VIP爱听榜歌单,用户存在，且在有网络的情况下,"1. 用户登录网易云
2. 点击排行榜
3.点击并播放黑胶VIP爱听榜","1. 成功进入网易云首页
2.成功进入云音乐特色榜界面全球媒体榜界面
3.播放黑胶VIP爱听榜歌曲失败",黑胶VIP爱听榜,②,功能测试,功能测试阶段,,,
,/主干/发现音乐/排行榜(#11),网易云系统_发现音乐_排行榜_播放黑胶VIP爱听榜歌单,用户存在，且在有网络和开通黑胶VIP的情况下,"1. 用户登录网易云
2. 点击排行榜
3.点击并播放黑胶VIP爱听榜","1. 成功进入网易云首页
2.成功进入云音乐特色榜界面和全球媒体榜界面
3.成功播放黑胶VIP爱听榜歌曲",黑胶VIP爱听榜,②,功能测试,功能测试阶段,,,
,/主干/发现音乐/排行榜(#11),网易云系统_发现音乐_排行榜_播放云音乐说唱榜歌单,用户存在，且在有网络的情况下,"1. 用户登录网易云
2. 点击排行榜
3.点击云音乐说唱榜并播放","1. 成功进入网易云首页
2.成功进入云音乐特色榜界面和全球媒体榜界面
3.成功播放云音乐说唱榜歌曲",云音乐说唱榜,②,功能测试,功能测试阶段,,,
,/主干/发现音乐/排行榜(#11),网易云系统_发现音乐_排行榜_播放云音乐古典榜歌单,用户存在，且在有网络的情况下,"1. 用户登录网易云
2. 点击排行榜
3.点击云音乐古典榜并播放","1. 成功进入网易云首页
2.成功进入云音乐特色榜界面和全球媒体榜界面
3.成功播放云音乐古典榜歌曲",云音乐古典榜,②,功能测试,功能测试阶段,,,
,/主干/发现音乐/排行榜(#11),网易云系统_发现音乐_排行榜_播放云音乐电竞榜歌单,用户存在，且在有网络的情况下,"1. 用户登录网易云
2. 点击排行榜
3.点击飙升榜并播放","1. 成功进入网易云首页
2.成功进入云音乐特色榜界面和全球媒体榜界面
3.成功播放云音乐电竞榜歌曲",云音乐电竞榜,②,功能测试,功能测试阶段,,,
,/主干/发现音乐/排行榜(#11),网易云系统_发现音乐_排行榜_播放云音乐ACG榜歌单,用户存在，且在有网络的情况下,"1. 用户登录网易云
2. 点击排行榜
3.点击飙升榜并播放","1. 成功进入网易云首页
2.成功进入云音乐特色榜界面和全球媒体榜界面
3.成功播放云音乐ACG榜歌曲",云音乐ACG榜,②,功能测试,功能测试阶段,,,
,/主干/发现音乐/排行榜(#11),网易云系统_发现音乐_排行榜_播放云音乐韩语榜歌单,用户存在，且在有网络的情况下,"1. 用户登录网易云
2. 点击排行榜
3.点击飙升榜并播放","1. 成功进入网易云首页
2.成功进入云音乐特色榜界面和全球媒体榜界面
3.成功播放云音乐韩语榜歌曲",云音乐韩语榜,②,功能测试,功能测试阶段,,,
,/主干/发现音乐/排行榜(#11),网易云系统_发现音乐_排行榜_播放飙升榜歌单,用户存在，且在有网络的情况下,"1. 用户登录网易云
2. 点击排行榜
3.点击飙升榜并播放","1. 成功进入网易云首页
2.成功进入云音乐特色榜界面和全球媒体榜界面
3.成功播放云音乐国电榜歌曲",飙升榜,②,功能测试,功能测试阶段,,,
,/主干/发现音乐/排行榜(#11),网易云系统_发现音乐_排行榜_播放云音乐国电榜歌单,用户存在，且在有网络的情况下,"1. 用户登录网易云
2. 点击排行榜
3.点击飙升榜并播放","1. 成功进入网易云首页
2.成功进入云音乐特色榜界面和全球媒体榜界面
3.成功播放飙升榜歌曲",云音乐国电榜,②,功能测试,功能测试阶段,,,
,/主干/发现音乐/排行榜(#11),网易云系统_发现音乐_排行榜_播放UK排行榜周榜歌单,用户存在，且在有网络的情况下,"1. 用户登录网易云
2. 点击排行榜
3.点击UK排行榜周榜并播放","1. 成功进入网易云首页
2.成功进入云音乐特色榜界面和全球媒体榜界面
3.成功播放UK排行榜周榜歌曲",UK排行榜周榜,②,功能测试,功能测试阶段,,,
,/主干/发现音乐/排行榜(#11),网易云系统_发现音乐_排行榜_播放中文DJ榜歌单,用户存在，且在有网络的情况下,"1. 用户登录网易云
2. 点击排行榜
3.点击中文DJ榜并播放","1. 成功进入网易云首页
2.成功进入云音乐特色榜界面和全球媒体榜界面
3.成功播放中文DJ榜歌曲",中文DJ榜,②,功能测试,功能测试阶段,,,
,/主干/发现音乐/排行榜(#11),网易云系统_发现音乐_排行榜_播放泰语榜歌单,用户存在，且在有网络的情况下,"1. 用户登录网易云
2. 点击排行榜
3.点击泰语榜并播放","1. 成功进入网易云首页
2.成功进入云音乐特色榜界面和全球媒体榜界面
3.成功播放泰语榜歌曲",泰语榜,②,功能测试,功能测试阶段,,,
,/主干/发现音乐/排行榜(#11),网易云系统_发现音乐_排行榜_播放俄语榜歌单,用户存在，且在有网络的情况下,"1. 用户登录网易云
2. 点击排行榜
3.点击俄语榜并播放","1. 成功进入网易云首页
2.成功进入云音乐特色榜界面和全球媒体榜界面
3.成功播放俄语榜歌曲",俄语榜,②,功能测试,功能测试阶段,,,
,/主干/发现音乐/排行榜(#11),网易云系统_发现音乐_排行榜_播放网络热歌榜歌单,用户存在，且在有网络的情况下,"1. 用户登录网易云
2. 点击排行榜
3.点击网络热歌榜并播放","1. 成功进入网易云首页
2.成功进入云音乐特色榜界面和全球媒体榜界面
3.成功播放网络热歌榜歌曲",网络热歌榜,②,功能测试,功能测试阶段,,,
,/主干/发现音乐/排行榜(#11),网易云系统_发现音乐_排行榜_播放飙升榜歌单,用户存在，且在有网络的情况下,"1. 用户登录网易云
2. 点击排行榜
3.点击飙升榜并播放","1. 成功进入网易云首页
2.成功进入云音乐特色榜界面
3.成功播放飙升榜歌曲",飙升榜,②,功能测试,功能测试阶段,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,/主干/发现音乐/排行榜(#11),网易云系统_发现音乐_排行榜_分享音乐，并分享成功,用户存在，且在有网络的情况下,"1. 用户登录网易云
2. 点击音乐并分享到网易云
3.能同时分享到微博和豆瓣","1. 成功进入网易云首页
2.成功分享到网易云
3.成功分享到微博和豆瓣",分享音乐,3,功能测试,功能测试阶段,,,
,/主干/发现音乐/歌单(#12),网易云系统_发现音乐_歌单_选择不同风格的歌单播放成功,在有网的情况下,"1. 以游客形式进入网易云系统
2. 点击发现音乐和歌单
3.选择播放","1. 成功进入网易云首页
2.看到不同风格的歌单 
3.歌单播放成功",歌单播放,3,功能测试,功能测试阶段,,,
,/主干/发现音乐/歌单(#12),网易云系统_发现音乐_歌单_选择不同风格的歌单播放成功,在有网的情况下,"1. 以游客形式进入网易云系统
2. 点击发现音乐和歌单
3.选择播放","1. 成功进入网易云首页
2.看到不同风格的歌单 
3.歌单播放成功",歌单播放,3,功能测试,功能测试阶段,,,
,/主干/发现音乐/主播电台(#13),网易云系统_发现音乐_主播电台_我要做主播,用户存在，且在有网络的情况下,"1.  用户登录网易云
2. 点击主播电台，选择我要做主播
3.选择登录账号","1. 成功进入网易云首页
2. 弹出登陆界面框
3.账号登录成功",我要做主播,3,功能测试,功能测试阶段,,,
,/主干/发现音乐/歌手(#14),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,
,/主干/发现音乐(#1),页面正常显示,登录网易云账户,"1. 点击我的音乐
2. 
3.",页面正常显示,,,,,,,
,/主干/我的音乐/我的歌手(#16),正确显示关注歌手,登录网易云账户,"1. 点击我的歌手
2. 
3.",正确显示关注歌手,,,,,,,
,,点击歌手头像，进入歌手详情页面,登录网易云账户,"1. 点击我的歌手
2. 点击歌手头像
3.",正确显示相关歌手mv，歌曲,,,,,,,
,,点击歌手名字，进入歌手详情页面,登录网易云账户,"1. 点击我的歌手
2. 点击歌手名字
3.",正确显示相关歌手mv，歌曲,,,,,,,
,/主干/我的音乐/我的电台(#17),正确显示创建，订阅的电台,登录网易云账户,"1. 点击我的电台
2. 
3.",正确显示创建，订阅的电台,,,,,,,
,,点击电台头像，进入电台详情页面,登录网易云账户,"1. 点击电台头像
2. 
3.",正确显示相关电台歌曲,,,,,,,
,,点击电台名字，进入电台详情页面,登录网易云账户,"1.点击电台名字
2. 
3.",正确显示相关电台歌曲,,,,,,,
,/主干/我的音乐/我创建的歌单(#18),正确显示创健的歌单,登录网易云账户,"1. 点击创建歌单
2. 
3.","1. 显示登录账户的创建的歌单
2. 
3.",,,,,,,
,,点击下拉图标，弹出创建的歌单,登录网易云账户,"1. 点击创建歌单
2. 点击下拉图标
3.","1. 显示登录账户的创建的歌单
2. 
3.",,,,,,,
,,点击随意一个歌单，显示相关歌曲,登录网易云账户,"1. 点击创建歌单
2. 点击随意一个歌单
3.",1.显示相关歌曲,,,,,,,
,,点击编辑图标，能编辑歌单信息,登录网易云账户,"1.点击编辑图标
2. 
3.","1. 保存成功
2. 
3.",,,,,,,
,,编辑2位中文歌单名，点击保存,登录网易云账户,"1. 点击编辑按钮
2. 
3.","1. 保存成功
2. 
3.",,,,,,,
,,编辑20位中文字歌单名，点击保存,登录网易云账户,"1. 点击编辑按钮
2. 
3.","1. 保存成功
2. 
3.",,,,,,,
,,编辑19位中文字歌单名，点击保存,登录网易云账户,"1. 点击编辑按钮
2. 
3.","1. 保存成功
2. 
3.",,,,,,,
,,编辑21位中文字歌单名，点击保存,登录网易云账户,"1. 点击编辑按钮
2. 
3.","1. 保存失败
2. 
3.",,,,,,,
,,编辑40位英文字歌单名，点击保存,登录网易云账户,"1. 点击编辑按钮
2. 
3.","1. 保存成功
2. 
3.",,,,,,,
,,编辑39位英文字歌单名，点击保存,登录网易云账户,"1. 点击编辑按钮
2. 
3.","1. 保存成功
2. 
3.",,,,,,,
,,编辑41位英文字歌单名，点击保存,登录网易云账户,"1. 点击编辑按钮
2. 
3.","1. 保存失败
2. 
3.",,,,,,,
,,编辑歌单时，随意选择2个标签点击保存,登录网易云账户,"1. 点击编辑按钮
2. 
3.","1. 保存成功
2. 
3.",,,,,,,
,,编辑歌单时，随意选择3个标签点击保存,登录网易云账户,"1. 点击编辑按钮
2. 
3.","1. 保存成功
2. 
3.",,,,,,,
,,编辑歌单时，随意选择4个标签点击保存,登录网易云账户,"1. 点击编辑按钮
2. 
3.","1. 保存失败
2. 
3.",,,,,,,
,,编辑歌单时，介绍栏填写小于1000字点击保存,登录网易云账户,"1. 点击编辑按钮
2. 
3.","1. 保存成功
2. 
3.",,,,,,,
,,编辑歌单时，介绍栏填写等于1000字点击保存,登录网易云账户,"1. 点击编辑按钮
2. 
3.","1. 保存成功
2. 
3.",,,,,,,
,,编辑歌单时，介绍栏填写大于1000字点击保存,登录网易云账户,"1. 点击编辑按钮
2. 
3.","1. 保存失败
2. 
3.",,,,,,,
,,点击删除歌单按钮，歌单正确删除,登录网易云账户,"1. 点击删除按钮
2. 
3.","1. 删除成功
2. 
3.",,,,,,,
,,点击新建按钮，输入2位中文，点击新建,登录网易云账户,"1. 点击新建
2. 
3.","1. 新建成功
2. 
3.",,,,,,,
,,点击新建按钮，输入20位中文，点击新建,登录网易云账户,"1. 点击新建
2. 
3.","1. 新建成功
2. 
3.",,,,,,,
,,点击新建按钮，输入21位中文，点击新建,登录网易云账户,"1. 点击新建
2. 
3.","1. 新建失败
2. 
3.",,,,,,,
,,点击新建按钮，输入19位中文，点击新建,登录网易云账户,"1. 点击新建
2. 
3.","1. 新建成功
2. 
3.",,,,,,,
,,点击新建按钮，输入40位英文，点击新建,登录网易云账户,"1. 点击新建
2. 
3.","1. 新建成功
2. 
3.",,,,,,,
,,点击新建按钮，输入41位英文，点击新建,登录网易云账户,"1. 点击新建
2. 
3.","1. 新建失败
2. 
3.",,,,,,,
,,点击新建按钮，输入39位英文，点击新建,登录网易云账户,"1. 点击新建
2. 
3.","1. 新建成功
2. 
3.",,,,,,,
,/主干/我的音乐/收藏的歌单(#19),正确显示收藏的歌单,登录网易云账户,"1. 点击收藏歌单
2. 
3.",正确显示收藏的歌单,,,,,,,
,,点击下拉图标，弹出相关收藏歌单,登录网易云账户,"1. 点击下拉图标
2. 
3.","1. 弹出相关收藏歌单
2. 
3.",,,,,,,
,,点击随意一个收藏歌单，显示相关歌曲,登录网易云账户,"1. 点击歌单
2. 
3.",显示相关歌曲,,,,,,,
,,点击删除按钮，删除正确的歌单,登录网易云账户,"1. 点击删除
2. 
3.","1. 删除成功
2. 
3.",,,,,,,
,/主干/关注(#3),页面正确显示关注音乐人的动态,登录网易云账户,"1. 点击关注
2. 
3.",页面正确显示关注音乐人的动态,,,,,,,
,,点击头像，进入相关用户的详情页面,登录网易云账户,"1. 点击关注
2. 点击头像
3.",进入相关用户的详情页面,,,,,,,
,,点击用户名，进入相关用户的详情页面,登录网易云账户,"1. 点击关注
2. 点击用户名
3.",进入相关用户的详情页面,,,,,,,
,,点击音乐封面，播放音乐,登录网易云账户,"1. 点击关注
2. 点击音乐封面
3.","1. 播放音乐
2. 
3.",,,,,,,
,,点击音乐名字，进入相关音乐评论区，和歌词显示,登录网易云账户,"1. 点击关注
2. 点击音乐名
3.",进入相关音乐评论区，和歌词显示,,,,,,,
,,点击点赞按钮，点赞数加一,登录网易云账户,"1. 点击点赞按钮
2. 
3.",点赞数加一,,,,,,,
,,点击转发按钮，输入140字以内评论，点击转发,登录网易云账户,"1. 点击转发按钮
2. 
3.","1. 转发成功
2. 
3.",,,,,,,
,,点击转发按钮，输入140字评论，点击转发,登录网易云账户,"1. 点击转发按钮
2. 
3.","1. 转发成功
2. 
3.",,,,,,,
,,点击转发按钮，输入139字评论，点击转发,登录网易云账户,"1. 点击转发按钮
2. 
3.","1. 转发成功
2. 
3.",,,,,,,
,,点击转发按钮，输入141字评论，点击转发,登录网易云账户,"1. 点击转发按钮
2. 
3.","1. 转发失败
2. 
3.",,,,,,,
,,点击转发按钮，输入140字母以内评论，点击转发,登录网易云账户,"1. 点击转发按钮
2. 
3.","1. 转发成功
2. 
3.",,,,,,,
,,点击转发按钮，输入140字母，点击转发,登录网易云账户,"1. 点击转发按钮
2. 
3.","1. 转发成功
2. 
3.",,,,,,,
,,点击转发按钮，输入139字母评论，点击转发,登录网易云账户,"1. 点击转发按钮
2. 
3.","1. 转发成功
2. 
3.",,,,,,,
,,点击转发按钮，输入141字母评论，点击转发,登录网易云账户,"1. 点击转发按钮
2. 
3.","1. 转发失败
2. 
3.",,,,,,,
,,点击评论按钮，输入140字以内评论，点击评论,登录网易云账户,"1. 点击评论按钮
2. 
3.","1. 评论成功
2. 
3.",,,,,,,
,,点击评论按钮，输入140字评论，点击评论,登录网易云账户,"1. 点击评论按钮
2. 
3.","1. 评论成功
2. 
3.",,,,,,,
