平台,所属模块,用例标题,前置条件,步骤,预期,关键词,优先级,用例类型,适用阶段,,类型可选值列表,阶段可选值列表,平台
,/主干/账户信息/实名认证/手机号(#49),网易云官网-账户信息-实名认证-填写不真实手机号12784645，审核不通过,用户存在，且有网络,"1. 用户登录网易云
2. 点击头像下拉框的‘实名认证’
17.在实名认证中填写一个不正确手机号12784645，进行审核","1.  进入网易云官网
2. 进入‘实名认证’主页
17.实名认证不正确，手机号审核不通过",,③,功能性测试,功能测试阶段,,,,
,/主干/账户信息/实名认证/验证码(#50),网易云官网-账户信息-实名认证-填写不真实手机号12784645，无法获得验证码，审核不通过,用户存在，且有网络,"1. 用户登录网易云
2. 点击头像下拉框的‘实名认证’
18.在实名认证中填写一个不正确手机号12784645，获得验证码，进行审核","1.  进入网易云官网
2. 进入‘实名认证’主页
18.实名认证无法获得验证码，审核不通过",,③,功能性测试,功能测试阶段,,,,
,/主干/账户信息/实名认证/地区(#51),网易云官网-账户信息-实名认证-填写不真实地区,用户存在，且有网络,"1. 用户登录网易云
2. 点击头像下拉框的‘实名认证’
19.在实名认证中填写一个不正确地区进行审核","1.  进入网易云官网
2. 进入‘实名认证’主页
19.实名认证地区不正确，审核不通过",,②,功能性测试,功能测试阶段,,,,
,/主干/账户信息/实名认证/证件号(#52),网易云官网-账户信息-实名认证-填写不正确证件号44273849,用户存在，且有网络,"1. 用户登录网易云
2. 点击头像下拉框的‘实名认证’
20.在实名认证中填写一个不正确证件号44273849进行审核","1.  进入网易云官网
2. 进入‘实名认证’主页
20.实名认证证件号格式不对，审核不通过",,②,功能性测试,功能测试阶段,,,,
,/主干/账户信息/我的主页/我创建的电台(#35),网易云官网-账户信息-我的主页-创建一个摇滚音乐电台,用户存在，且有网络,"1. 用户登录网易云
2. 点击头像下拉框的‘我的主页’
3点击创建摇滚音乐电台，并添加歌曲进入电台","1.  进入网易云官网
2. 进入‘我的主页’主页
3.创建关于摇滚音乐电台成功",,③,功能性测试,功能测试阶段,,,,
,/主干/账户信息/我的主页/听歌排行(#36),网易云官网-账户信息-我的主页-查看最近一周听歌排行,用户存在，且有网络,"1. 用户登录网易云
2. 点击头像下拉框的‘我的主页’
4查看最近一周听歌排行","1.  进入网易云官网
2. 进入‘我的主页’主页
4.成功查看最近一周听歌排行",,②,功能性测试,功能测试阶段,,,,
,/主干/账户信息/我的主页/创建的歌单(#37),网易云官网-账户信息-我的主页-创建抒情歌单,用户存在，且有网络,"1. 用户登录网易云
2. 点击头像下拉框的‘我的主页’
3点击创建抒情歌单，并添加歌曲进入歌单","1.  进入网易云官网
2. 进入‘我的主页’主页
3.创建关于抒情歌单成功",,②,功能性测试,功能测试阶段,,,,
,/主干/账户信息/我的主页/收藏的歌单(#38),网易云官网-账户信息-我的主页-收藏其他用户歌单,用户存在，且有网络,"1. 用户登录网易云
2. 点击头像下拉框的‘我的主页’
4进入其他用户个人页面，并收藏其他用户歌单","1.  进入网易云官网
2. 进入‘我的主页’主页
4.成功收藏其他用户的歌单",,②,功能性测试,功能测试阶段,,,,
,/主干/账户信息/我的消息(#29),网易云官网-账户信息-查看我的未读信息,用户存在，且有网络,"1. 用户登录网易云
2. 点击头像下拉框的‘我的消息’
5查看我的未读信息","1.  进入网易云官网
2. 进入‘我的主页’主页
5.成功查看未读信息",,③,功能性测试,功能测试阶段,,,,
,/主干/账户信息/我的消息/@我的(#39),网易云官网-账户信息-查看关于@我的信息,用户存在，且有网络,"1. 用户登录网易云
2. 点击头像下拉框的‘我的消息’
6查看关于@我的信息","1.  进入网易云官网
2. 进入‘我的主页’主页
6.成功查看未读信息",,③,功能性测试,功能测试阶段,,,,
,/主干/账户信息/我的消息/私信(#40),网易云官网-账户信息-私信给其他用户,用户存在，且有网络,"1. 用户登录网易云
2. 点击头像下拉框的‘我的消息’
7私信给其他用户","1.  进入网易云官网
2. 进入‘我的主页’主页
7.成功发送信息，并得到回复",,③,功能性测试,功能测试阶段,,,,
,/主干/账户信息/我的消息/评论(#41),网易云官网-账户信息-我的消息-评论歌曲,用户存在，且有网络,"1. 用户登录网易云
2. 点击头像下拉框的‘我的信息’
8在歌曲下面进行评论","1.  进入网易云官网
2. 进入‘我的主页’主页
8.评论成功，并得到点赞",,③,功能性测试,功能测试阶段,,,,
,/主干/账户信息/我的消息/通知(#42),网易云官网-账户信息-我的消息-查看通知,用户存在，且有网络,"1. 用户登录网易云
2. 点击头像下拉框的‘我的消息’
3.点击‘通知’查看系统通知","1. 进入网易云官网
2. 进入‘我的消息’主页
3.成功显示系统通知",,③,功能性测试,功能测试阶段,,,,
,/主干/账户信息/我的消息/一键已读(#43),网易云官网-账户信息-我的消息-点击一键已读,用户存在，且有网络,"1. 用户登录网易云
2. 点击头像下拉框的‘我的消息’
3.点击‘我的消息’的‘一键已读’","1. 进入网易云官网
2. 进入‘我的消息’主页
3.消息显示已读",,③,功能性测试,功能测试阶段,,,,
,/主干/账户信息/我的等级(#30),网易云官网-账户信息-我的等级,用户存在，且有网络,"1. 用户登录网易云
2. 点击头像下拉框的‘我的等级’
3.查看‘我的等级’","1. 进入网易云官网
2. 进入‘我的等级’主页
3.查看成功",,③,功能性测试,功能测试阶段,,,,
,/主干/账户信息/我的等级/了解等级特权(#44),网易云官网-账户信息-我的等级-了解等级特权,"
用户存在，且有网络","1. 用户登录网易云
2.  点击头像下拉框的‘我的等级’
3.点击‘了解等级特权’，查看相关信息","1. 进入网易云官网
2. 进入‘我的等级’主页
3.查看成功",,③,功能性测试,功能测试阶段,,,,
,/主干/账户信息/vip会员(#31),网易云官网-账户信息-购买vip会员,"
用户存在，且有网络","1. 用户登录网易云
2.  点击头像下拉框的‘vip会员’
3.选择vip会员套餐，并且购买","1. 进入网易云官网
2. 进入‘vip会员’主页
3.购买vip会员成功，并成为会员",,③,功能性测试,功能测试阶段,,,,
,/主干/账户信息/个人设置(#32),网易云官网-账户信息-个人设置,用户存在，且有网络,"1. 用户登录网易云
2.  点击头像下拉框的‘个人设置’
4.查看个人设置主页","1. 进入网易云官网
2. 进入‘个人设置’主页
4.查看成功",,②,功能性测试,功能测试阶段,,,,
,/主干/账户信息/个人设置/基本设置(#45),网易云官网-账户信息-个人设置-基本设置,用户存在，且有网络,"1. 用户登录网易云
2.  点击头像下拉框的‘个人设置’
5.点击‘基本设置’填写相关信息","1. 进入网易云官网
2. 进入‘个人设置’主页
5.设置基本信息成功",,①,功能性测试,功能测试阶段,,,,
,/主干/账户信息/个人设置/绑定设置(#46),网易云官网-账户信息-个人设置-绑定设置,用户存在，且有网络,"1. 用户登录网易云
2.  点击头像下拉框的‘个人设置’
6.点击‘绑定设置’填写相关信息","1. 进入网易云官网
2. 进入‘个人设置’主页
6.填写相关信息成功",,②,功能性测试,功能测试阶段,,,,
,/主干/账户信息/个人设置/隐私设置(#47),网易云官网-账户信息-个人设置-隐私设置,用户存在，且有网络,"1. 用户登录网易云
2.  点击头像下拉框的‘个人设置’
7.点击‘隐私设置’设置相关信息","1. 进入网易云官网
2. 进入‘隐私设置’主页
7.设置相关隐私信息成功",,②,功能性测试,功能测试阶段,,,,
,/主干/账户信息/实名认证(#33),网易云官网-账户信息-实名认证,用户存在，且有网络,"1. 用户登录网易云
2.  点击头像下拉框的‘实名认证’
8.点击‘实名认证’正确填写相关信息","1. 进入网易云官网
2. 进入‘实名认证’主页
8.填写相关信息，并认证成功",,②,功能性测试,功能测试阶段,,,,
,/主干/账户信息/实名认证/真实姓名(#48),网易云官网-账户信息-实名认证-填写真实姓名,用户存在，且有网络,"1. 用户登录网易云
2.  点击头像下拉框的‘实名认证’
9.点击‘实名认证’填写真实姓名","1. 进入网易云官网
2. 进入‘实名认证’主页
9.填写真实姓名成功",,②,功能性测试,功能测试阶段,,,,
,/主干/账户信息/实名认证/手机号(#49),网易云官网-账户信息-实名认证-填写正确手机号,用户存在，且有网络,"1. 用户登录网易云
2.  点击头像下拉框的‘实名认证’
10.点击‘实名认证’填写用户手机号","1. 进入网易云官网
2. 进入‘实名认证’主页
10.填写手机号成功",,③,功能性测试,功能测试阶段,,,,
,/主干/账户信息/实名认证/验证码(#50),网易云官网-账户信息-实名认证-填写正确验证码,用户存在，且有网络,"1. 用户登录网易云
2.  点击头像下拉框的‘实名认证’
11.点击‘实名认证’填写用户手机号，获取验证码","1. 进入网易云官网
2. 进入‘实名认证’主页
11.填写手机号，成功获得验证码",,②,功能性测试,功能测试阶段,,,,
,/主干/账户信息/实名认证/地区(#51),网易云官网-账户信息-实名认证-填写真实地区,用户存在，且有网络,"1. 用户登录网易云
2.  点击头像下拉框的‘实名认证’
12.点击‘实名认证’填写用户所在地区","1. 进入网易云官网
2. 进入‘实名认证’主页
12.填写地区成功",,②,功能性测试,功能测试阶段,,,,
,/主干/账户信息/实名认证/证件号(#52),网易云官网-账户信息-实名认证-填写正确证件号,用户存在，且有网络,"1. 用户登录网易云
2.  点击头像下拉框的‘实名认证’
13.点击‘实名认证’登记用户证件号","1. 进入网易云官网
2. 进入‘实名认证’主页
13.登记证件号成功",,③,功能性测试,功能测试阶段,,,,
,/主干/账户信息/退出(#34),网易云官网-账户信息-进行退出登录,用户存在，且有网络,"1. 用户登录网易云
2.  点击头像下拉框的‘退出’
14.返回登录页面","1. 进入网易云官网
2. 进到‘登录’页面
14.退出登录成功",,②,功能性测试,功能测试阶段,,,,
,/主干/账户信息/我的主页/我创建的电台(#35),网易云官网-账户信息-我的主页-创建一个古典音乐电台,,"1. 用户登录网易云
2. 点击头像下拉框的‘我的主页’
3点击创建古典音乐电台，并添加歌曲进入电台","1.  进入网易云官网
2. 进入‘我的主页’主页
3.创建关于古典音乐电台成功",,②,功能性测试,功能测试阶段,,,,
,/主干/账户信息/我的主页/创建的歌单(#37),网易云官网-账户信息-我的主页-创建粤语歌单,用户存在，且有网络,"1. 用户登录网易云
2. 点击头像下拉框的‘我的主页’
3点击创建粤语音乐歌单，并添加歌曲进入歌单","1.  进入网易云官网
2. 进入‘我的主页’主页
3.创建关于粤语音乐歌单成功",,②,功能性测试,功能测试阶段,,,,
,/主干/账户信息/我的主页/收藏的歌单(#38),网易云官网-账户信息-我的主页-收藏热门推荐歌单,用户存在，且有网络,"1. 用户登录网易云
2. 点击头像下拉框的‘我的主页’
6.搜索‘热门推荐’歌单，并收藏歌单","1.  进入网易云官网
2. 进入‘我的主页’主页
6.成功收藏‘热门推荐’歌单",,②,功能性测试,功能测试阶段,,,,
,/主干/账户信息/vip会员(#31),网易云官网-账户信-vip会员-使用兑换码兑换会员,用户存在，且有网络,"1. 用户登录网易云
2.  点击头像下拉框的‘vip会员’
3.点击使用兑换码，填入正确兑换码，兑换会员","1. 进入网易云官网
2. 进入‘vip会员’主页
3.输入的兑换码有效，兑换vip会员成功",,②,功能性测试,功能测试阶段,,,,
,/主干/账户信息/vip会员(#31),网易云官网-账户信-vip会员-买会员用支付宝支付,用户存在，且有网络,"1. 用户登录网易云
2.  点击头像下拉框的‘vip会员’
3.选择vip会员套餐，并且购买，并打开支付宝扫码支付","1. 进入网易云官网
2. 进入‘vip会员’主页
3.用支付宝购买vip会员成功，并成为会员",,③,功能性测试,功能测试阶段,,,,
,/主干/账户信息/vip会员(#31),网易云官网-账户信-vip会员-买会员用威信支付,用户存在，且有网络,"1. 用户登录网易云
2.  点击头像下拉框的‘vip会员’
4.选择vip会员套餐，并且购买，并打开微信扫码支付","1. 进入网易云官网
2. 进入‘vip会员’主页
4.用微信扫码购买vip会员成功，并成为会员",,③,功能性测试,功能测试阶段,,,,
,/主干/账户信息/个人设置/基本设置(#45),网易云官网-账户信息-个人设置-基本设置-更改头像,用户存在，且有网络,"1. 用户登录网易云
2. 点击头像下拉框的‘我的主页’
13.点击头像，选择照片，并修改照片","1.  进入网易云官网
2. 进入‘我的主页’主页
13.修改头像成功。",,③,功能性测试,功能测试阶段,,,,
,/主干/账户信息/个人设置/绑定设置(#46),网易云官网-账户信息-个人设置-绑定网易邮箱,用户存在，且有网络,"1. 用户登录网易云
2. 点击头像下拉框的‘我的主页’
14.点击网易邮箱绑定，进行相关操作","1.  进入网易云官网
2. 进入‘我的主页’主页
14.绑定网易邮箱成功。",,③,功能性测试,功能测试阶段,,,,
,/主干/账户信息/个人设置/隐私设置(#47),网易云官网-账户信息-个人设置-隐私设置-设置听歌排行供所有人可见,用户存在，且有网络,"1. 用户登录网易云
2.  点击头像下拉框的‘个人设置’
7.点击‘隐私设置’，设置听歌排行供所有人可见","1. 进入网易云官网
2. 进入‘隐私设置’主页
7.设置听歌排行供所有人可见成功",,③,功能性测试,功能测试阶段,,,,
,/主干/账户信息/个人设置/绑定设置(#46),网易云官网-账户信息-个人设置-绑定设置-进入注销流程,用户存在，且有网络,"1. 用户登录网易云
2. 点击头像下拉框的‘我的主页’
3.点击‘进入注销流程’，进行相关操作","1.  进入网易云官网
2. 进入‘我的主页’主页
14.注销用户成功。",,②,功能性测试,功能测试阶段,,,,
,/主干/账户信息/个人设置/绑定设置(#46),网易云官网-账户信息-个人设置-绑定设置-绑定QQ,用户存在，且有网络,"1. 用户登录网易云
2. 点击头像下拉框的‘我的主页’
14.点击QQ绑定，进行相关操作","1.  进入网易云官网
2. 进入‘我的主页’主页
14.绑定网易QQ成功。",,②,功能性测试,功能测试阶段,,,,
,/主干/账户信息/个人设置/隐私设置(#47),网易云官网-账户信息-个人设置-隐私设置-开启个性化服务,用户存在，且有网络,"1. 用户登录网易云
2.  点击头像下拉框的‘个人设置’
7.点击‘隐私设置’，设置开启个性化服务","1. 进入网易云官网
2. 进入‘隐私设置’主页
7.设开启个性化服务成功",,②,功能性测试,功能测试阶段,,,,
,/主干/账户信息/vip会员(#31),网易云官网-账户信息-vip会员-购买音乐包，是否享有会员曲库,用户存在，且有网络,"1. 用户登录网易云
2. 点击头像下拉框的‘我的消息’
11进入vip会员，购买音乐包，然后进入网易云首页，查看是否有‘会员曲库’这个频道","1.  进入网易云官网
2. 进入‘会员vip’主页 3.进入网易云首页 12.成功查看到有‘会员曲库’这个频道",,②,功能性测试,功能测试阶段,,,,
,/主干/账户信息/vip会员(#31),网易云官网-账户信息-vip会员-购买音乐包，是否享有免费下载功能,用户存在，且有网络,"1. 用户登录网易云
2. 点击头像下拉框的‘我的消息’
12进入vip会员，购买音乐包，然后进入网易云首页，听一首歌曲，点击下载","1.  进入网易云官网
2. 进入‘会员vip’主页 3.进入网易云首页 13.听一首歌，成功免费下载",,②,功能性测试,功能测试阶段,,,,
,/主干/账户信息/vip会员(#31),网易云官网-账户信息-vip会员-购买音乐包，是否享有无损音质,用户存在，且有网络,"1. 用户登录网易云
2. 点击头像下拉框的‘我的消息’
13进入vip会员，购买音乐包，然后进入网易云首页，点击歌曲，点击无损音质","1.  进入网易云官网
2. 进入‘会员vip’主页 3.进入网易云首页 14.点击歌曲，成功用到无损音质",,②,功能性测试,功能测试阶段,,,,
,/主干/账户信息/vip会员(#31),网易云官网-账户信息-vip会员-购买音乐包，是否有享有大量独特铃声,用户存在，且有网络,"1. 用户登录网易云
2. 点击头像下拉框的‘我的消息’
11进入vip会员，购买音乐包，然后进入网易云首页，点击铃声，并进行下载","1.  进入网易云官网
2. 进入‘会员vip’主页 3.进入网易云首页 12.点击铃声，下载成功",,②,功能性测试,功能测试阶段,,,,
,/主干/账户信息/我的主页/听歌排行(#36),网易云官网-账户信息-我的主页-统计每首歌的听歌次数是否正确,用户存在，且有网络,"1. 用户登录网易云
2. 点击头像下拉框的‘我的主页’
4查看听歌次数排行第一的歌，一共听了32次，再点击听一次","1.  进入网易云官网
2. 进入‘我的主页’主页
4.查看听歌排行，排行第一的歌曲听歌次数变成了33次",,①,功能性测试,功能测试阶段,,,,
,/主干/账户信息/我的主页(#28),网易云官网-账户信息-我的主页-编辑个人资料,用户存在，且有网络,"1. 用户登录网易云
2. 点击头像下拉框的‘我的主页’
3点击‘编辑个人资料’，进行编辑","1.  进入网易云官网
2. 进入‘我的主页’主页
3.页面成功跳转到‘个人设置’的基本设置，编辑成功",,③,功能性测试,功能测试阶段,,,,
,/主干/账户信息/我的主页/我创建的电台(#35),网易云官网-账户信息-我的主页-创建古风音乐电台，并进行推送,用户存在，且有网络,"1. 用户登录网易云
2. 点击头像下拉框的‘我的主页’
4添加有关古风音乐进入‘古风电台’，并进行推送","1.  进入网易云官网
2. 进入‘我的主页’主页
4.创建‘古风音乐电台’成功，其他用户能够看到",,③,功能性测试,功能测试阶段,,,,
,/主干/账户信息/我的主页/听歌排行(#36),网易云官网-账户信息-我的主页-测试累积听歌首数，原有1200首,用户存在，且有网络,"1. 用户登录网易云
2. 点击头像下拉框的‘我的主页’
5搜索一首未听过的歌，并查看累积听歌首数是否增加到1201首","1.  进入网易云官网
2. 进入‘我的主页’主页
5.用户听一首新歌，累积歌曲成功加到1201首",,③,功能性测试,功能测试阶段,,,,
,/主干/账户信息/我的主页/创建的歌单(#37),网易云官网-账户信息-我的主页-创建有关‘李荣浩’歌单,用户存在，且有网络,"1. 用户登录网易云
2. 点击头像下拉框的‘我的主页’
5添加全部‘李荣浩’的歌曲进入歌单","1.  进入网易云官网
2. 进入‘我的主页’主页
5.创建‘李荣浩’歌单成功",,③,功能性测试,功能测试阶段,,,,
,/主干/账户信息/我的主页/收藏的歌单(#38),网易云官网-账户信息-我的主页-查看关于我的收藏歌单,用户存在，且有网络,"1. 用户登录网易云
2. 点击头像下拉框的‘我的主页’
6进入我的收藏歌单，查看收藏歌单是否能看到","1.  进入网易云官网
2. 进入‘我的主页’主页
6.查看收藏歌单成功",,③,功能性测试,功能测试阶段,,,,
,/主干/账户信息/vip会员(#31),网易云官网-账户信息-vip会员-购买黑胶会员，是否有享有大量独特铃声,用户存在，且有网络,"1. 用户登录网易云
2. 点击头像下拉框的‘我的消息’
11进入vip会员，购买黑胶会员，然后进入网易云首页，点击铃声，并进行下载","1.  进入网易云官网
2. 进入‘会员vip’主页 3.进入网易云首页 12.点击铃声，下载成功",,①,功能性测试,功能测试阶段,,,,
,/主干/账户信息/vip会员(#31),网易云官网-账户信息-vip会员-购买黑胶会员，选择会员歌曲，并点击下载，是否成功,用户存在，且有网络,"1. 用户登录网易云
2. 点击头像下拉框的‘我的消息’
11进入vip会员，购买黑胶会员，然后进入网易云首页，选择会员歌曲，并点击下载","1.  进入网易云官网
2. 进入‘会员vip’主页 3.进入网易云首页 12.点击vip歌曲下载成功",,①,功能性测试,功能测试阶段,,,,
,/主干/账户信息/我的消息/私信(#40),网易云官网-账户信息-我的主页-我的消息-删除私信,用户存在，且有网络,"1. 用户登录网易云
2. 点击头像下拉框的‘我的消息’
7进入我的消息主页，点击私信，然后选择第一条私信，并选择删除","1.  进入网易云官网
2. 进入‘我的消息’主页
7.进入‘我的消息’主页，删除私信成功",,①,功能性测试,功能测试阶段,,,,
,/主干/账户信息/我的消息/评论(#41),网易云官网-账户信息-我的主页-我的消息-评论-评论歌曲，查看有无相关记录,用户存在，且有网络,"1. 用户登录网易云
2. 点击头像下拉框的‘我的消息’
8先在某一首歌下面评论，然后进入我的消息主页，查看是否有评论记录","1.  进入网易云官网
2. 进入‘我的消息’主页
8.成功查看有相关的评论记录",,①,功能性测试,功能测试阶段,,,,
,/主干/账户信息/我的消息/通知(#42),网易云官网-账户信息-我的主页-我的消息-通知-其他用户点赞了我的评论，点击是否能够跳转到具体评论下面,用户存在，且有网络,"1. 用户登录网易云
2. 点击头像下拉框的‘我的消息’
9进入我的消息主页，点击通知里那天被赞记录，查看是否能跳转到具体评论下","1.  进入网易云官网
2. 进入‘我的消息’主页
9.成功跳转到具体评论下",,①,功能性测试,功能测试阶段,,,,
,/主干/账户信息/我的消息/一键已读(#43),网易云官网-账户信息-我的主页-我的消息-一键已读-我的消息全部为已读，点击一键已读是否成功,用户存在，且有网络,"1. 用户登录网易云
2. 点击头像下拉框的‘我的消息’
10进入我的消息主页，在全部信息已读了状态，点击一键已读","1.  进入网易云官网
2. 进入‘我的消息’主页
10.无法点击一键已读",,②,功能性测试,功能测试阶段,,,,
,/主干/账户信息/我的等级(#30),网易云官网-账户信息-我的主页-我的消息-一键已读-数据是否在每天下午两点钟更新,用户存在，且有网络,"1. 用户登录网易云
2. 点击头像下拉框的‘我的消息’
11进入我的消息主页，在今天早上9：00看关于我的等级相关数据，并等到下午2：00，查看数据是否更新","1.  进入网易云官网
2. 进入‘我的消息’主页
11.下午两点数据成功更新",,②,功能性测试,功能测试阶段,,,,
,/主干/账户信息/vip会员(#31),网易云官网-账户信息-vip会员-购买黑胶会员，是否享有会员曲库,用户存在，且有网络,"1. 用户登录网易云
2. 点击头像下拉框的‘我的消息’
11进入vip会员，购买黑胶会员，然后进入网易云首页，点击会员曲库，并进行听歌","1.  进入网易云官网
2. 进入‘会员vip’主页 3.进入网易云首页 12.点击会员曲库，成功进行听歌",,②,功能性测试,功能测试阶段,,,,
,/主干/账户信息/个人设置/绑定设置(#46),网易云官网-账户信息-个人设置-解绑网易邮箱,用户存在，且有网络,"1. 用户登录网易云
2. 点击头像下拉框的‘我的主页’
14.点击网易邮箱解绑，进行相关操作","1.  进入网易云官网
2. 进入‘我的主页’主页
14.解绑网易邮箱成功。",,②,功能性测试,功能测试阶段,,,,
,/主干/账户信息/个人设置/绑定设置(#46),网易云官网-账户信息-个人设置-解绑微信,用户存在，且有网络,"1. 用户登录网易云
2. 点击头像下拉框的‘我的主页’
14.点击微信解绑，进行相关操作","1.  进入网易云官网
2. 进入‘我的主页’主页
14.解绑微信成功。",,②,功能性测试,功能测试阶段,,,,
,/主干/账户信息/个人设置/绑定设置(#46),网易云官网-账户信息-个人设置-解绑QQ,用户存在，且有网络,"1. 用户登录网易云
2. 点击头像下拉框的‘我的主页’
14.点击QQ解绑，进行相关操作","1.  进入网易云官网
2. 进入‘我的主页’主页
14.解绑QQ成功。",,②,功能性测试,功能测试阶段,,,,
,/主干/账户信息/个人设置/隐私设置(#47),网易云官网-账户信息-个人设置-隐私设置-设置歌单被收藏时收到通知,用户存在，且有网络,"1. 用户登录网易云
2.  点击头像下拉框的‘个人设置’
7.点击‘隐私设置’，设置歌单被收藏时收到通知","1. 进入网易云官网
2. 进入‘隐私设置’主页
7.设置歌单被收藏时收到通知成功",,②,功能性测试,功能测试阶段,,,,
,/主干/账户信息/个人设置/绑定设置(#46),网易云官网-账户信息-个人设置-解绑新浪,用户存在，且有网络,"1. 用户登录网易云
2. 点击头像下拉框的‘我的主页’
14.点击新浪解绑，进行相关操作","1.  进入网易云官网
2. 进入‘我的主页’主页
14.解绑新浪成功。",,②,功能性测试,功能测试阶段,,,,
,/主干/账户信息/实名认证/真实姓名(#48),网易云官网-账户信息-实名认证-已经认证成功的情况下修改名字,用户存在，且有网络,"1. 用户登录网易云
2. 点击头像下拉框的‘实名认证’
16.在已认证的实名认证中修改名字","1. 进入网易云官网
2. 进入‘实名认证’主页
11.修改名字失败，审核后不得修改",,②,功能性测试,功能测试阶段,,,,
,/主干/账户信息/实名认证/手机号(#49),网易云官网-账户信息-实名认证-已经认证成功的情况下修改手机号,用户存在，且有网络,"1. 用户登录网易云
2. 点击头像下拉框的‘实名认证’
17.在已认证的实名认证中修改手机号","1. 进入网易云官网
2. 进入‘实名认证’主页
12.修改手机号成功",,②,功能性测试,功能测试阶段,,,,
